# ========
# captured on: Mon Nov 10 22:29:07 2014
# hostname : euler16
# os release : 2.6.32-358.6.2.el6.x86_64
# perf version : 2.6.32-358.23.2.el6.x86_64.debug
# arch : x86_64
# nrcpus online : 64
# nrcpus avail : 64
# cpudesc : AMD Opteron(TM) Processor 6274 
# cpuid : AuthenticAMD,21,1,2
# total memory : 132151156 kB
# cmdline : /usr/bin/perf record -a -e page-faults -o rs_32.faults -- ./dress 
# event : name = page-faults, type = 1, config = 0x2, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 16193, 16194, 16195, 16196, 16197, 16198, 16199, 16200, 16201, 16202, 16203, 16204, 16205, 16206, 16207, 16208, 16209, 16210, 16211, 16212, 16213, 16214, 16215, 16216, 16217, 16218, 16219, 16220, 16221, 16222, 16223, 16224, 16225, 16226, 16227, 16228, 16229, 16230, 16231, 16232, 16233, 16234, 16235, 16236, 16237, 16238, 16239, 16240, 16241, 16242, 16243, 16244, 16245, 16246, 16247, 16248, 16249, 16250, 16251, 16252, 16253, 16254, 16255, 16256 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 13K of event 'page-faults'
# Event count (approx.): 200987
#
# Overhead,Command,Shared Object,Symbol
0.08,     dress,ld-2.12.so                 ,[.] do_lookup_x                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0.08,     dress,libc-2.12.so               ,[.] __memset_sse2                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.07,     dress,libnvidia-glcore.so.331.20 ,[.] 0x00000000015b9b70                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.04,     dress,ld-2.12.so                 ,[.] _dl_discover_osversion                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.04,     dress,libc-2.12.so               ,[.] __strlen_sse42                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0.04,atieventsd,[kernel.kallsyms]          ,[k] 0xffffffff81119354                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.04,     dress,ld-2.12.so                 ,[.] memset                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.03,     dress,libChronoEngine_Parallel.so,[.] _ZN9__gnu_cxx13new_allocatorIPN6chrono6ChBodyEE9constructIS3_JS3_EEEvPT_DpOT0_                                                                                                                                                                                                                                                                                                                                                                                                 
0.03,     dress,libChronoEngine_Utils.so   ,[.] unsigned long std::allocator_traits<std::allocator<chrono::ChSharedPtr<chrono::ChAsset> > >::_S_max_size<std::allocator<chrono::ChSharedPtr<chrono::ChAsset> > const, void>(std::allocator<chrono::ChSharedPtr<chrono::ChAsset> > const&, int)                                                                                                                                                                                                                                 
0.03,     dress,libChronoEngine_Parallel.so,[.] _ZN6thrust6detail10functional5actorINS1_8argumentILj1EEEEC1Ev@plt                                                                                                                                                                                                                                                                                                                                                                                                              
0.03,     dress,libstdc++.so.6.0.20        ,[.] std::istream::sentry::sentry(std::istream&, bool)                                                                                                                                                                                                                                                                                                                                                                                                                              
0.03,     dress,libChronoEngine_Parallel.so,[.] __static_initialization_and_destruction_0(int, int)                                                                                                                                                                                                                                                                                                                                                                                                                            
0.02,     dress,libChronoEngine_Parallel.so,[.] std::vector<double, std::allocator<double> >::insert(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, unsigned long, double const&)                                                                                                                                                                                                                                                                                                 
0.02,     dress,libc-2.12.so               ,[.] __strcasecmp_l_sse42                                                                                                                                                                                                                                                                                                                                                                                                                                                           
0.02,     dress,libChronoEngine.so         ,[.] chrono::ChLink::GetClassRTTI()                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0.02,     dress,libChronoEngine_Utils.so   ,[.] _ZN6thrust6detail10functional5actorINS1_8argumentILj9EEEEC1Ev@plt                                                                                                                                                                                                                                                                                                                                                                                                              
0.02,     dress,libChronoEngine.so         ,[.] chrono::ChClassRegister<chrono::ChShaftsTorsionSpring>::ChClassRegister()                                                                                                                                                                                                                                                                                                                                                                                                      
0.02,     dress,libc-2.12.so               ,[.] memcpy                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.02,     dress,libChronoEngine.so         ,[.] _GLOBAL__sub_I_ChLcpIterativeBB.cpp                                                                                                                                                                                                                                                                                                                                                                                                                                            
0.02,     dress,libpthread-2.12.so         ,[.] pthread_create@@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0.02,     dress,libc-2.12.so               ,[.] __libc_calloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.02,     dress,libChronoEngine.so         ,[.] chrono::ChLcpVariables::GetClassRTTI()                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.02,     dress,libChronoEngine.so         ,[.] chrono::geometry::ChGeometry::GetClassRTTI()                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.02,     dress,libc-2.12.so               ,[.] __isnanf                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0.01,     dress,libpthread-2.12.so         ,[.] __pthread_initialize_minimal                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.01,     dress,libChronoEngine.so         ,[.] __static_initialization_and_destruction_0(int, int)                                                                                                                                                                                                                                                                                                                                                                                                                            
0.01,     dress,libc-2.12.so               ,[.] new_heap                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0.01,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono19ChSystemParallelDVI12UpdateBodiesEv._omp_fn.11                                                                                                                                                                                                                                                                                                                                                                                                                     
0.01,     dress,libChronoEngine_Parallel.so,[.] GetSupportPoint_Cylinder(real3 const&, real3 const&)                                                                                                                                                                                                                                                                                                                                                                                                                           
0.01,     dress,libc-2.12.so               ,[.] __clone                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
0.01,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono14ChSolverAPGDRS11SolveAPGDRSEjjRN6thrust11host_vectorIfSaIfEEES5_._omp_fn.17                                                                                                                                                                                                                                                                                                                                                                                        
0.01,     dress,libstdc++.so.6.0.20        ,[.] __cxa_guard_acquire                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0.01,     dress,libChronoEngine.so         ,[.] chrono::ChVector<double>::operator-(chrono::ChVector<double> const&) const                                                                                                                                                                                                                                                                                                                                                                                                     
0.01,     dress,ld-2.12.so                 ,[.] _dl_new_object                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0.01,     dress,libstdc++.so.6.0.20        ,[.] std::basic_ios<wchar_t, std::char_traits<wchar_t> >::init(std::basic_streambuf<wchar_t, std::char_traits<wchar_t> >*)                                                                                                                                                                                                                                                                                                                                                          
0.01,     dress,libstdc++.so.6.0.20        ,[.] std::locale::_Impl::_Impl(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                       
0.01,     dress,libChronoEngine.so         ,[.] ConvexDecomposition::Array<ConvexDecomposition::btHullTriangle*>::Array(int)                                                                                                                                                                                                                                                                                                                                                                                                   
0.01,     dress,libChronoEngine_Parallel.so,[.] chrono::ChConstraintRigidRigid::ComputeJacobians()                                                                                                                                                                                                                                                                                                                                                                                                                             
0.01,     dress,ld-2.12.so                 ,[.] _dl_check_map_versions                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.01,     dress,ld-2.12.so                 ,[.] _dl_map_object_from_fd                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.01,     dress,libc-2.12.so               ,[.] __printf_fp                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0.01,     gmond,[kernel.kallsyms]          ,[k] 0xffffffff8128212d                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.01,     dress,libChronoEngine_Parallel.so,[.] void thrust::system::detail::internal::scalar::detail::radix_sort<8u, false, thrust::detail::normal_iterator<long long*>, thrust::detail::normal_iterator<thrust::pointer<long long, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default> >, int*, int*>(thrust::detail::normal_iterator<long long*>, thrust::detail::normal_iterator<thrust::pointer<long long, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default> >, int*, in
0.01,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono22ChConstraintRigidRigid8host_RHSEP4int2PffP5bool2P5real3S7_S7_S7_S7_P5real4S3_._omp_fn.14                                                                                                                                                                                                                                                                                                                                                                           
0.01,     dress,libChronoEngine.so         ,[.] CONVEX_DECOMPOSITION::Array<CONVEX_DECOMPOSITION::Tri*>::~Array()                                                                                                                                                                                                                                                                                                                                                                                                              
0.01,     dress,libm-2.12.so               ,[.] __ieee754_pow                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.01,     dress,libgomp.so.1.0.0           ,[.] GOMP_parallel                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.01,     dress,libChronoEngine_Parallel.so,[.] thrust::detail::distance_from_result<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t>, thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t> >::type thrust::iterator_core_access::distance_from<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t>, thrust::detail::tagged_iterator<t
