# ========
# captured on: Mon Nov 10 22:19:41 2014
# hostname : euler16
# os release : 2.6.32-358.6.2.el6.x86_64
# perf version : 2.6.32-358.23.2.el6.x86_64.debug
# arch : x86_64
# nrcpus online : 64
# nrcpus avail : 64
# cpudesc : AMD Opteron(TM) Processor 6274 
# cpuid : AuthenticAMD,21,1,2
# total memory : 132151156 kB
# cmdline : /usr/bin/perf record -a -e page-faults -o rs_64.faults -- ./dress 
# event : name = page-faults, type = 1, config = 0x2, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 15937, 15938, 15939, 15940, 15941, 15942, 15943, 15944, 15945, 15946, 15947, 15948, 15949, 15950, 15951, 15952, 15953, 15954, 15955, 15956, 15957, 15958, 15959, 15960, 15961, 15962, 15963, 15964, 15965, 15966, 15967, 15968, 15969, 15970, 15971, 15972, 15973, 15974, 15975, 15976, 15977, 15978, 15979, 15980, 15981, 15982, 15983, 15984, 15985, 15986, 15987, 15988, 15989, 15990, 15991, 15992, 15993, 15994, 15995, 15996, 15997, 15998, 15999, 16000 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 14K of event 'page-faults'
# Event count (approx.): 215712
#
# Overhead,Command,Shared Object,Symbol
40.78,     dress,libc-2.12.so               ,[.] _int_malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
18.15,     dress,libChronoEngine_Parallel.so,[.] thrust::detail::enable_if_non_const_reference_or_tuple_of_iterator_references<thrust::tuple_element<1, thrust::detail::tuple_of_iterator_references<long long&, long long&, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type> >::type>::type thrust::detail::host_unary_transform_functor<thrust::identity<long long> >::operator()<thrust::detail::tuple_of_iterator_re
9.29,     dress,libChronoEngine_Parallel.so,[.] thrust::detail::enable_if_non_const_reference_or_tuple_of_iterator_references<thrust::tuple_element<1, thrust::detail::tuple_of_iterator_references<int&, int&, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type> >::type>::type thrust::detail::host_unary_transform_functor<thrust::identity<int> >::operator()<thrust::detail::tuple_of_iterator_references<int&, int&
5.83,     dress,libChronoEngine_Parallel.so,[.] void thrust::system::cpp::detail::assign_value<thrust::system::cpp::detail::tag, thrust::pointer<long long, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, long long const*>(thrust::system::cpp::detail::execution_policy<thrust::system::cpp::detail::tag>&, thrust::pointer<long long, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, long long const*)                                                         
5.31,     dress,libc-2.12.so               ,[.] _wordcopy_fwd_aligned                                                                                                                                                                                                                                                                                                                                                                                                                                                          
3.64,     dress,dress                      ,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<float> >::operator()<float>(float const&)                                                                                                                                                                                                                                                                                                                                                              
3.15,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<real3> >::operator()<real3>(real3 const&)                                                                                                                                                                                                                                                                                                                                                              
2.80,     dress,libGL.so.331.20            ,[.] 0x00000000000a925d                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2.52,     dress,ld-2.12.so                 ,[.] _dl_relocate_object                                                                                                                                                                                                                                                                                                                                                                                                                                                            
1.34,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<int> >::operator()<int>(int const&)                                                                                                                                                                                                                                                                                                                                                                    
1.23,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<real4> >::operator()<real4>(real4 const&)                                                                                                                                                                                                                                                                                                                                                              
1.19,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<unsigned int> >::operator()<unsigned int>(unsigned int const&)                                                                                                                                                                                                                                                                                                                                         
0.63,irqbalance,[kernel.kallsyms]          ,[k] 0xffffffff8128212d                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.54,     dress,libChronoEngine_Parallel.so,[.] void thrust::system::cpp::detail::assign_value<thrust::system::cpp::detail::tag, thrust::pointer<int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, int const*>(thrust::system::cpp::detail::execution_policy<thrust::system::cpp::detail::tag>&, thrust::pointer<int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, int const*)                                                                                 
