# ========
# captured on: Mon Nov 10 22:19:41 2014
# hostname : euler16
# os release : 2.6.32-358.6.2.el6.x86_64
# perf version : 2.6.32-358.23.2.el6.x86_64.debug
# arch : x86_64
# nrcpus online : 64
# nrcpus avail : 64
# cpudesc : AMD Opteron(TM) Processor 6274 
# cpuid : AuthenticAMD,21,1,2
# total memory : 132151156 kB
# cmdline : /usr/bin/perf record -a -e page-faults -o rs_64.faults -- ./dress 
# event : name = page-faults, type = 1, config = 0x2, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 15937, 15938, 15939, 15940, 15941, 15942, 15943, 15944, 15945, 15946, 15947, 15948, 15949, 15950, 15951, 15952, 15953, 15954, 15955, 15956, 15957, 15958, 15959, 15960, 15961, 15962, 15963, 15964, 15965, 15966, 15967, 15968, 15969, 15970, 15971, 15972, 15973, 15974, 15975, 15976, 15977, 15978, 15979, 15980, 15981, 15982, 15983, 15984, 15985, 15986, 15987, 15988, 15989, 15990, 15991, 15992, 15993, 15994, 15995, 15996, 15997, 15998, 15999, 16000 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 14K of event 'page-faults'
# Event count (approx.): 215712
#
# Overhead,Command,Shared Object,Symbol
40.78,     dress,libc-2.12.so               ,[.] _int_malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.54,     dress,libChronoEngine_Parallel.so,[.] void thrust::system::cpp::detail::assign_value<thrust::system::cpp::detail::tag, thrust::pointer<unsigned int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, unsigned int const*>(thrust::system::cpp::detail::execution_policy<thrust::system::cpp::detail::tag>&, thrust::pointer<unsigned int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, unsigned int const*)                                             
0.30,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<int2> >::operator()<int2>(int2 const&)                                                                                                                                                                                                                                                                                                                                                                 
0.29,     dress,ld-2.12.so                 ,[.] strcmp                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.25,     dress,libc-2.12.so               ,[.] __memset_sse2                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.25,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<long long> >::operator()<long long>(long long const&)                                                                                                                                                                                                                                                                                                                                                  
0.20,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<short2> >::operator()<short2>(short2 const&)                                                                                                                                                                                                                                                                                                                                                           
0.17,     dress,ld-2.12.so                 ,[.] check_match.12442                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0.16,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<bool2> >::operator()<bool2>(bool2 const&)                                                                                                                                                                                                                                                                                                                                                              
0.11,      perf,perf                       ,[.] cmd_record                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
0.08,     dress,libc-2.12.so               ,[.] _int_realloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.08,     dress,ld-2.12.so                 ,[.] do_lookup_x                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0.05,     dress,ld-2.12.so                 ,[.] strchr                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.05,     dress,libc-2.12.so               ,[.] __strlen_sse42                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0.05,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono14ChSolverAPGDRS11SolveAPGDRSEjjRN6thrust11host_vectorIfSaIfEEES5_._omp_fn.17                                                                                                                                                                                                                                                                                                                                                                                        
0.04,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono22ChConstraintRigidRigid17host_shurB_normalERKfP4int2P5bool2P5real3P5real4PfS8_S8_S8_S8_SB_._omp_fn.22                                                                                                                                                                                                                                                                                                                                                               
0.04,     dress,libc-2.12.so               ,[.] memcpy                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.04,     dress,libChronoEngine_Parallel.so,[.] thrust::detail::distance_from_result<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t>, thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t> >::type thrust::iterator_core_access::distance_from<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t>, thrust::detail::tagged_iterator<t
0.04,     dress,libc-2.12.so               ,[.] __clone                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
0.04,atieventsd,[kernel.kallsyms]          ,[k] 0xffffffff81119354                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.04,     dress,libChronoEngine_Parallel.so,[.] void thrust::system::detail::internal::scalar::detail::radix_sort<8u, false, thrust::detail::normal_iterator<long long*>, thrust::detail::normal_iterator<thrust::pointer<long long, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default> >, int*, int*>(thrust::detail::normal_iterator<long long*>, thrust::detail::normal_iterator<thrust::pointer<long long, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default> >, int*, in
0.03,     dress,libc-2.12.so               ,[.] new_heap                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0.03,     dress,libChronoEngine_Parallel.so,[.] _ZN9__gnu_cxx13new_allocatorIPN6chrono6ChBodyEE9constructIS3_JS3_EEEvPT_DpOT0_                                                                                                                                                                                                                                                                                                                                                                                                 
0.03,     dress,ld-2.12.so                 ,[.] _dl_lookup_symbol_x                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0.03,     dress,ld-2.12.so                 ,[.] _dl_map_object_from_fd                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.03,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono22ChConstraintRigidRigid8host_RHSEP4int2PffP5bool2P5real3S7_S7_S7_S7_P5real4S3_._omp_fn.14                                                                                                                                                                                                                                                                                                                                                                           
0.02,     dress,libm-2.12.so               ,[.] __dubsin                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0.02,     dress,libChronoEngine_Parallel.so,[.] _GLOBAL__sub_I_ChContactContainerParallel.cpp                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.02,     dress,libpthread-2.12.so         ,[.] pthread_create@@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0.02,     dress,libChronoEngine_Parallel.so,[.] real3::real3(float)                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0.02,     dress,libChronoEngine_OpenGL.so  ,[.] _GLOBAL__sub_I_ChOpenGLViewer.cpp                                                                                                                                                                                                                                                                                                                                                                                                                                              
0.02,     dress,libChronoEngine_Parallel.so,[.] int* thrust::for_each_n<thrust::system::cpp::detail::tag, int*, unsigned long, thrust::detail::host_generate_functor<thrust::detail::fill_functor<int> > >(thrust::detail::execution_policy_base<thrust::system::cpp::detail::tag> const&, int*, unsigned long, thrust::detail::host_generate_functor<thrust::detail::fill_functor<int> >)                                                                                                                                     
0.02,     dress,libChronoEngine_Parallel.so,[.] __gnu_cxx::new_allocator<real3>::new_allocator(__gnu_cxx::new_allocator<real3> const&)                                                                                                                                                                                                                                                                                                                                                                                         
0.02,     dress,libChronoEngine.so         ,[.] chrono::ChVector<double> chrono::Vcross<double, double>(chrono::ChVector<double> const&, chrono::ChVector<double> const&)                                                                                                                                                                                                                                                                                                                                                      
0.02,     dress,libc-2.12.so               ,[.] __strncpy_ssse3                                                                                                                                                                                                                                                                                                                                                                                                                                                                
0.02,     dress,libChronoEngine.so         ,[.] chrono::ChSystem::GetClassRTTI()                                                                                                                                                                                                                                                                                                                                                                                                                                               
0.02,     dress,libnvidia-glcore.so.331.20 ,[.] 0x00000000014c9b10                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.02,     dress,libChronoEngine.so         ,[.] __static_initialization_and_destruction_0(int, int)                                                                                                                                                                                                                                                                                                                                                                                                                            
0.02,     dress,libnvidia-glcore.so.331.20 ,[.] _nv015glcore                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.02,     dress,libChronoEngine.so         ,[.] bool chrono::Vnotnull<double>(chrono::ChVector<double>*)                                                                                                                                                                                                                                                                                                                                                                                                                       
0.02,     dress,libChronoEngine.so         ,[.] chrono::ChClassRegisterABSTRACT<chrono::geometry::ChEllipsoid>::ChClassRegisterABSTRACT()                                                                                                                                                                                                                                                                                                                                                                                      
0.02,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono19ChSystemParallelDVI12UpdateBodiesEv._omp_fn.11                                                                                                                                                                                                                                                                                                                                                                                                                     
0.02,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono21ChConstraintBilateral8host_RHSEP4int2PfPbP5real3S6_S6_S6_S6_S6_S3_._omp_fn.11                                                                                                                                                                                                                                                                                                                                                                                      
0.02,     dress,ld-2.12.so                 ,[.] _dl_cache_libcmp                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0.02,     dress,libChronoEngine.so         ,[.] __static_initialization_and_destruction_0(int, int)                                                                                                                                                                                                                                                                                                                                                                                                                            
0.02,     dress,libm-2.12.so               ,[.] __fminf                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
0.02,     dress,libXfixes.so.3.1.0         ,[.] 0x0000000000004510                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.02,     dress,libChronoEngine.so         ,[.] __static_initialization_and_destruction_0(int, int)                                                                                                                                                                                                                                                                                                                                                                                                                            
0.01,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono16ChSolverParallel5SetupEPNS_21ChParallelDataManagerE._omp_fn.12                                                                                                                                                                                                                                                                                                                                                                                                     
0.01,     dress,libChronoEngine.so         ,[.] _GLOBAL__sub_I_ChFunction_Sequence.cpp                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.01,     dress,libChronoEngine_Parallel.so,[.] thrust::detail::distance_from_result<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t>, thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t> >::type thrust::iterator_core_access::distance_from<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t>, thrust::detail::tagged_iterator<thrust::detail::nor
0.01,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono16ChSolverParallel5SetupEPNS_21ChParallelDataManagerE._omp_fn.11                                                                                                                                                                                                                                                                                                                                                                                                     
0.01,     dress,libChronoEngine_Parallel.so,[.] GetSupportPoint_Cylinder(real3 const&, real3 const&)                                                                                                                                                                                                                                                                                                                                                                                                                           
0.01,     dress,libChronoEngine.so         ,[.] chrono::ChClassRegisterCommon::ChClassRegisterCommon()                                                                                                                                                                                                                                                                                                                                                                                                                         
0.01,     dress,ld-2.12.so                 ,[.] memset                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.01,     dress,libGLEW.so.1.5.5           ,[.] 0x0000000000031010                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.01,     dress,ld-2.12.so                 ,[.] match_symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.01,     dress,libc-2.12.so               ,[.] __strlen_sse2                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.01,     dress,libChronoEngine.so         ,[.] _ZNSt8ios_base4InitC1Ev@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0.01,     dress,libChronoEngine.so         ,[.] chrono::ChBody::ComputeGyro()                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.01,     dress,libChronoEngine.so         ,[.] ConvexDecomposition::Array<ConvexDecomposition::btHullTriangle*>::Array(int)                                                                                                                                                                                                                                                                                                                                                                                                   
0.01,     dress,ld-2.12.so                 ,[.] process_envvars                                                                                                                                                                                                                                                                                                                                                                                                                                                                
0.01,     dress,libc-2.12.so               ,[.] printf                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.01,     dress,libChronoEngine_Parallel.so,[.] chrono::Orthogonalize(real3&, real3&, real3&)                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.01,     dress,libChronoEngine.so         ,[.] chrono::ChClassRegister<chrono::ChMatterSPH>::~ChClassRegister()                                                                                                                                                                                                                                                                                                                                                                                                               
0.01,     dress,libChronoEngine_Parallel.so,[.] chrono::collision::RCollision(unsigned int const&, chrono::collision::ConvexShape const&, chrono::collision::ConvexShape const&, int const&, int const&, unsigned int*, real3*, real3*, real3*, float*, float*, int2*, int&)                                                                                                                                                                                                                                                   
0.01,     dress,[kernel.kallsyms]          ,[k] 0xffffffff8128384f                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.00,     dress,libc-2.12.so               ,[.] __get_nprocs                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.00,     dress,ld-2.12.so                 ,[.] _dl_start                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
0.00,     dress,libgomp.so.1.0.0           ,[.] GOMP_loop_guided_start                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.00,     dress,ld-2.12.so                 ,[.] _start                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.00,     dress,libgomp.so.1.0.0           ,[.] GOMP_loop_guided_next                                                                                                                                                                                                                                                                                                                                                                                                                                                          
0.00,     dress,libChronoEngine_Parallel.so,[.] real4::operator float __vector() const                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.00,     dress,libc-2.12.so               ,[.] _L_lock_5189                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.00,     dress,libc-2.12.so               ,[.] __strchr_sse2                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.00,     dress,libChronoEngine_Parallel.so,[.] mult(real4 const&, real4 const&)                                                                                                                                                                                                                                                                                                                                                                                                                                               
0.00,     dress,ld-2.12.so                 ,[.] _dl_new_object                                                                                                                                                                                                                                                                                                                                                                                                                                                                 


#
# (For a higher level overview, try: perf report --sort comm,dso)
#
