# ========
# captured on: Mon Nov 10 22:35:41 2014
# hostname : euler16
# os release : 2.6.32-358.6.2.el6.x86_64
# perf version : 2.6.32-358.23.2.el6.x86_64.debug
# arch : x86_64
# nrcpus online : 64
# nrcpus avail : 64
# cpudesc : AMD Opteron(TM) Processor 6274 
# cpuid : AuthenticAMD,21,1,2
# total memory : 132151156 kB
# cmdline : /usr/bin/perf record -a -e page-faults -o rs_16.faults -- ./dress 
# event : name = page-faults, type = 1, config = 0x2, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 16449, 16450, 16451, 16452, 16453, 16454, 16455, 16456, 16457, 16458, 16459, 16460, 16461, 16462, 16463, 16464, 16465, 16466, 16467, 16468, 16469, 16470, 16471, 16472, 16473, 16474, 16475, 16476, 16477, 16478, 16479, 16480, 16481, 16482, 16483, 16484, 16485, 16486, 16487, 16488, 16489, 16490, 16491, 16492, 16493, 16494, 16495, 16496, 16497, 16498, 16499, 16500, 16501, 16502, 16503, 16504, 16505, 16506, 16507, 16508, 16509, 16510, 16511, 16512 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 11K of event 'page-faults'
# Event count (approx.): 189401
#
# Overhead,Command,Shared Object,Symbol
45.91,     dress,libc-2.12.so               ,[.] _int_malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
9.51,     dress,libChronoEngine_Parallel.so,[.] thrust::detail::enable_if_non_const_reference_or_tuple_of_iterator_references<thrust::tuple_element<1, thrust::detail::tuple_of_iterator_references<long long&, long long&, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type> >::type>::type thrust::detail::host_unary_transform_functor<thrust::identity<long long> >::operator()<thrust::detail::tuple_of_iterator_ref
6.85,     dress,libChronoEngine_Parallel.so,[.] thrust::detail::enable_if_non_const_reference_or_tuple_of_iterator_references<thrust::tuple_element<1, thrust::detail::tuple_of_iterator_references<int&, int&, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type> >::type>::type thrust::detail::host_unary_transform_functor<thrust::identity<int> >::operator()<thrust::detail::tuple_of_iterator_references<int&, int&
5.85,     dress,libChronoEngine_Parallel.so,[.] void thrust::system::cpp::detail::assign_value<thrust::system::cpp::detail::tag, thrust::pointer<long long, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, long long const*>(thrust::system::cpp::detail::execution_policy<thrust::system::cpp::detail::tag>&, thrust::pointer<long long, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, long long const*)                                                         
5.78,     dress,libc-2.12.so               ,[.] _wordcopy_fwd_aligned                                                                                                                                                                                                                                                                                                                                                                                                                                                          
4.33,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<real3> >::operator()<real3>(real3 const&)                                                                                                                                                                                                                                                                                                                                                              
4.14,     dress,dress                      ,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<float> >::operator()<float>(float const&)                                                                                                                                                                                                                                                                                                                                                              
2.86,     dress,ld-2.12.so                 ,[.] _dl_relocate_object                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2.82,     dress,libGL.so.331.20            ,[.] 0x00000000000a5840                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2.22,     dress,libChronoEngine_Parallel.so,[.] void thrust::system::cpp::detail::assign_value<thrust::system::cpp::detail::tag, thrust::pointer<int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, int const*>(thrust::system::cpp::detail::execution_policy<thrust::system::cpp::detail::tag>&, thrust::pointer<int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, int const*)                                                                                 
1.60,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<int> >::operator()<int>(int const&)                                                                                                                                                                                                                                                                                                                                                                    
1.53,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<real4> >::operator()<real4>(real4 const&)                                                                                                                                                                                                                                                                                                                                                              
1.32,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<unsigned int> >::operator()<unsigned int>(unsigned int const&)                                                                                                                                                                                                                                                                                                                                         
1.12,   sssd_be,[unknown]                  ,[.] 0x000000330fe79548                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1.08,irqbalance,[kernel.kallsyms]          ,[k] 0xffffffff8128212d                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.48,     dress,ld-2.12.so                 ,[.] strcmp                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.36,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<int2> >::operator()<int2>(int2 const&)                                                                                                                                                                                                                                                                                                                                                                 
0.33,     dress,libChronoEngine_Parallel.so,[.] void thrust::system::cpp::detail::assign_value<thrust::system::cpp::detail::tag, thrust::pointer<unsigned int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, unsigned int const*>(thrust::system::cpp::detail::execution_policy<thrust::system::cpp::detail::tag>&, thrust::pointer<unsigned int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, unsigned int const*)                                             
0.21,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<short2> >::operator()<short2>(short2 const&)                                                                                                                                                                                                                                                                                                                                                           
0.18,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<bool2> >::operator()<bool2>(bool2 const&)                                                                                                                                                                                                                                                                                                                                                              
0.14,      perf,perf                       ,[.] cmd_record                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
0.13,     dress,ld-2.12.so                 ,[.] check_match.12442                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0.12,     dress,libc-2.12.so               ,[.] _int_realloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.07,     dress,libc-2.12.so               ,[.] __strlen_sse42                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0.07,     dress,libnvidia-glcore.so.331.20 ,[.] 0x0000000000fcfbca                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.06,atieventsd,[kernel.kallsyms]          ,[k] 0xffffffff81119354                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.05,     dress,libChronoEngine_Parallel.so,[.] _ZN9__gnu_cxx13new_allocatorIPN6chrono6ChBodyEE9constructIS3_JS3_EEEvPT_DpOT0_                                                                                                                                                                                                                                                                                                                                                                                                 
0.05,     dress,libc-2.12.so               ,[.] memcpy                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.04,     dress,ld-2.12.so                 ,[.] _dl_setup_hash                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0.04,     dress,ld-2.12.so                 ,[.] do_lookup_x                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0.03,     dress,ld-2.12.so                 ,[.] memset                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.03,     dress,libc-2.12.so               ,[.] __memset_sse2                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.03,     dress,libChronoEngine_Utils.so   ,[.] bool std::operator!=<chrono::ChSharedPtr<chrono::ChAsset>*>(std::move_iterator<chrono::ChSharedPtr<chrono::ChAsset>*> const&, std::move_iterator<chrono::ChSharedPtr<chrono::ChAsset>*> const&)                                                                                                                                                                                                                                                                                
0.03,     dress,libstdc++.so.6.0.20        ,[.] std::codecvt<char, char, __mbstate_t>::do_always_noconv() const                                                                                                                                                                                                                                                                                                                                                                                                                
0.03,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<long long> >::operator()<long long>(long long const&)                                                                                                                                                                                                                                                                                                                                                  
0.03,     dress,libChronoEngine_Parallel.so,[.] _ZN6thrust6system3omp6detail5par_tC1Ev@plt                                                                                                                                                                                                                                                                                                                                                                                                                                     
0.03,     dress,libChronoEngine_Parallel.so,[.] double* std::addressof<double>(double&)                                                                                                                                                                                                                                                                                                                                                                                                                                        
0.03,     dress,libChronoEngine_Parallel.so,[.] _GLOBAL__sub_I_ChCAABBGenerator.cpp                                                                                                                                                                                                                                                                                                                                                                                                                                            
0.03,     dress,libChronoEngine.so         ,[.] chrono::ChClassRegisterABSTRACT<chrono::ChLinkMateParallel>::ChClassRegisterABSTRACT()                                                                                                                                                                                                                                                                                                                                                                                         
0.02,     dress,libc-2.12.so               ,[.] __GI___libc_open                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0.02,     dress,libChronoEngine_Utils.so   ,[.] _GLOBAL__sub_I_ChUtilsCreators.cpp                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.02,     dress,ld-2.12.so                 ,[.] _dl_map_object_deps                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0.02,     dress,libChronoEngine.so         ,[.] __static_initialization_and_destruction_0(int, int)                                                                                                                                                                                                                                                                                                                                                                                                                            
0.02,     dress,libc-2.12.so               ,[.] _IO_vsscanf                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0.02,     dress,libChronoEngine_Parallel.so,[.] GetSupportPoint_Cylinder(real3 const&, real3 const&)                                                                                                                                                                                                                                                                                                                                                                                                                           
0.02,     dress,libChronoEngine.so         ,[.] chrono::ChClassRegister<chrono::ChLcpConstraintThreeBBShaft>::ChClassRegister()                                                                                                                                                                                                                                                                                                                                                                                                
0.02,     dress,libXxf86vm.so.1.0.0        ,[.] 0x0000000000003cd0                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.02,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono21ChConstraintBilateral8host_RHSEP4int2PfPbP5real3S6_S6_S6_S6_S6_S3_._omp_fn.11                                                                                                                                                                                                                                                                                                                                                                                      
