 0.0001|95.9763|18.1836| 9.7397|66.7274| 1.3252|  40815| 681798|     30|26.1414
 0.0002|91.9848|17.7471| 9.6396|63.3169| 1.2664|  40815| 756019|     30|25.9163
 0.0003|88.8316|17.7068| 9.5387|60.2974| 1.2528|  40815| 755862|     30|25.8344
 0.0004|89.3796|17.8686| 9.5723|60.6980| 1.2301|  40815| 755640|     30|25.7989
 0.0005|88.4674|17.6903| 9.5874|59.9630| 1.2168|  40815| 755099|     30|25.7374
 0.0006|88.6829|17.5327| 9.5951|60.3236| 1.2218|  40815| 754971|     30|25.5786
 0.0007|87.7431|17.6675| 9.5892|59.2285| 1.2481|  40815| 754883|     30|25.5290
 0.0008|87.9951|17.6447| 9.5684|59.5323| 1.2401|  40815| 754292|     30|25.4937
 0.0009|88.9024|17.6801| 9.6733|60.3120| 1.2272|  40815| 753579|     30|25.4745
 0.0010|88.1684|17.5938| 9.5801|59.7408| 1.2440|  40815| 753071|     30|25.3767
