 0.0001|75.1016|18.4141| 9.6079|45.7516| 1.3275|  40815| 681798|     30|26.1242
 0.0002|64.2384|17.6837| 9.4976|35.7771| 1.2674|  40815| 756018|     30|25.9797
 0.0003|62.8098|17.7474| 9.4601|34.3436| 1.2245|  40815| 755884|     30|25.7973
 0.0004|63.1544|17.6371| 9.4892|34.7645| 1.2540|  40815| 755636|     30|25.7039
 0.0005|62.7915|17.6567| 9.5011|34.3823| 1.2414|  40815| 755373|     30|25.6452
 0.0006|62.8460|17.5571| 9.5114|34.5273| 1.2406|  40815| 755154|     30|25.4716
 0.0007|62.2380|17.6302| 9.5415|33.8058| 1.2509|  40815| 754924|     30|25.3718
 0.0008|63.3555|17.5920| 9.5215|34.9645| 1.2672|  40815| 754588|     30|25.4047
 0.0009|61.7685|17.7552| 9.6160|33.0955| 1.2921|  40815| 753687|     30|25.1242
 0.0010|63.2564|17.5900| 9.5539|34.8103| 1.2927|  40815| 753195|     30|25.1846
